event_id,true_master_id,resolved_id,correct,problem_class,alias_hit,route,confidence,sig_source_agreement,sig_text_match,sig_barcode,overrides,rationale,barcode_verdict,barcode_score,barcode_agreeing,barcode_corrupt_sources,barcode_detail
abt-buy_0000,1029,1029,True,unresolved,False,reject,0.282,0.0,0.805,0.0,,"reject at 0.28 — source agreement 0.00, text margin 0.80, barcode insufficient_data",insufficient_data,0.0,,master|supplier,"only 0 checksum-valid barcode(s) available; corrupt reading from master, supplier"
abt-buy_0001,1028,1028,True,unresolved,False,reject,0.177,0.0,0.506,0.0,,"reject at 0.18 — source agreement 0.00, text margin 0.51, barcode insufficient_data",insufficient_data,0.0,,master|supplier,"only 0 checksum-valid barcode(s) available; corrupt reading from master, supplier"
abt-buy_0002,436,436,True,unresolved,False,reject,0.246,0.0,0.703,0.0,,"reject at 0.25 — source agreement 0.00, text margin 0.70, barcode insufficient_data",insufficient_data,0.0,,master|supplier,"only 0 checksum-valid barcode(s) available; corrupt reading from master, supplier"
abt-buy_0003,215,215,True,unresolved,False,reject,0.216,0.0,0.617,0.0,,"reject at 0.22 — source agreement 0.00, text margin 0.62, barcode insufficient_data",insufficient_data,0.0,,master|supplier,"only 0 checksum-valid barcode(s) available; corrupt reading from master, supplier"
abt-buy_0004,161,161,True,unresolved,False,reject,0.195,0.0,0.557,0.0,,"reject at 0.20 — source agreement 0.00, text margin 0.56, barcode insufficient_data",insufficient_data,0.0,,master|supplier,"only 0 checksum-valid barcode(s) available; corrupt reading from master, supplier"
abt-buy_0005,828,828,True,unresolved,False,reject,0.35,0.0,1.0,0.0,,"reject at 0.35 — source agreement 0.00, text margin 1.00, barcode insufficient_data",insufficient_data,0.0,,master|supplier,"only 0 checksum-valid barcode(s) available; corrupt reading from master, supplier"
abt-buy_0006,779,779,True,unresolved,False,reject,0.348,0.0,0.995,0.0,,"reject at 0.35 — source agreement 0.00, text margin 0.99, barcode insufficient_data",insufficient_data,0.0,,master|supplier,"only 0 checksum-valid barcode(s) available; corrupt reading from master, supplier"
abt-buy_0007,378,378,True,unresolved,False,reject,0.35,0.0,1.0,0.0,,"reject at 0.35 — source agreement 0.00, text margin 1.00, barcode insufficient_data",insufficient_data,0.0,,master|supplier,"only 0 checksum-valid barcode(s) available; corrupt reading from master, supplier"
abt-buy_0008,1026,1026,True,unresolved,False,reject,0.272,0.0,0.776,0.0,,"reject at 0.27 — source agreement 0.00, text margin 0.78, barcode insufficient_data",insufficient_data,0.0,,master|supplier,"only 0 checksum-valid barcode(s) available; corrupt reading from master, supplier"
abt-buy_0009,135,135,True,unresolved,False,reject,0.345,0.0,0.986,0.0,,"reject at 0.35 — source agreement 0.00, text margin 0.99, barcode insufficient_data",insufficient_data,0.0,,master|supplier,"only 0 checksum-valid barcode(s) available; corrupt reading from master, supplier"
abt-buy_0010,1027,1027,True,unresolved,False,reject,0.254,0.0,0.726,0.0,,"reject at 0.25 — source agreement 0.00, text margin 0.73, barcode insufficient_data",insufficient_data,0.0,,master|supplier,"only 0 checksum-valid barcode(s) available; corrupt reading from master, supplier"
abt-buy_0011,463,463,True,unresolved,False,reject,0.338,0.0,0.967,0.0,,"reject at 0.34 — source agreement 0.00, text margin 0.97, barcode insufficient_data",insufficient_data,0.0,,master|supplier,"only 0 checksum-valid barcode(s) available; corrupt reading from master, supplier"
abt-buy_0012,219,219,True,unresolved,False,reject,0.35,0.0,1.0,0.0,,"reject at 0.35 — source agreement 0.00, text margin 1.00, barcode insufficient_data",insufficient_data,0.0,,master|supplier,"only 0 checksum-valid barcode(s) available; corrupt reading from master, supplier"
